  text[]  (size =      39122 bytes)
suffix[]  (size =     312752 bytes, exec_time = 23.646230)
   lcp[]  (size =     312752 bytes, exec_time = 2.267270)
 count[]  (size =     312752 bytes, exec_time = 8.005080)
longest repeated phrase = 2 X ' if you want to make a difference in the life of ' 
   most repeated phrase = 3993 X 'e' 
count	numberwords	phrase
15	2	' for the '
2	3	' for the next '
15	2	' for the '
3	1	' for, '
2	2	' forge a '
3	1	' four '
2	1	' free '
2	1	' freeze '
26	1	' from '
3	2	' from our '
26	1	' from '
5	2	' from the '
2	1	' full '
3	1	' further '
10	1	' future '
6	2	' future is '
2	2	' gave us '
2	1	' generation '
2	2	' get a '
2	3	' get rid of '
12	1	' get '
2	2	' get there. '
12	1	' get '
3	1	' gets '
8	1	' give '
2	1	' giving '
2	3	' go back to '
6	1	' go '
2	2	' goal of '
2	2	' god bless '
2	1	' goes '
7	1	' good '
2	2	' government has '
16	1	' government '
3	3	' government that's '
2	1	' government. '
3	1	' great '
3	1	' greater '
3	1	' grow '
6	1	' had '
4	1	' half '
2	2	' half of '
4	1	' half '
3	1	' hard '
2	3	' hard work and '
27	1	' has '
6	2	' has been '
27	1	' has '
2	2	' has come '
27	1	' has '
2	2	' has to '
54	1	' have '
2	2	' have a '
3	2	' have been '
54	1	' have '
2	2	' have this '
6	2	' have to '
7	1	' he '
4	2	' health care '
2	2	' health insurance '
6	1	' help '
3	1	' her '
6	1	' here '
6	1	' high '
4	1	' high-'
3	2	' high-speed '
9	1	' his '
2	2	' his employees '
9	1	' his '
2	1	' hit '
3	2	' home to '
2	1	' home. '
3	1	' homes '
12	1	' how '
2	2	' how to '
12	1	' how '
4	2	' how we '
3	2	' how we''
2	3	' how we'll '
4	2	' i am '
2	4	' i am prepared to '
3	2	' i ask '
2	2	' i can '
45	1	' i '
2	3	' i will be '
6	2	' i will '
9	2	' i'm '
4	3	' i'm not '
3	5	' i'm not willing to '
9	2	' i'm '
2	4	' i'm willing to '
2	3	' i've heard '
2	3	' i've proposed '
6	1	' idea '
2	1	' ideas '
17	1	' if '
2	2	' if they '
6	2	' if we '
2	3	' if we want '
5	2	' if you '
2	11	' if you want to make a difference in the life of '
119	1	' in '
9	2	' in a '
2	3	' in a new '
7	2	' in our '
2	3	' in research and '
33	2	' in the '
2	3	' in the coming '
33	2	' in the '
3	3	' in the world. '
3	2	' in their '
7	2	' in this '
2	3	' in this new '
7	2	' in this '
2	2	' in tucson '
119	1	' in '
2	1	' india '
3	1	' industries '
4	1	' industry '
5	1	' information '
2	1	' infrastructure '
4	1	' innovation '
4	1	' innovation. '
2	2	' insist that '
3	2	' instead of '
3	1	' insurance '
4	1	' internet '
2	1	' internet. '
3	2	' into a '
8	1	' into '
2	2	' into the '
2	1	' inventors '
3	2	' invest in '
4	1	' invest '
2	2	' investing in '
2	1	' investment, '
4	1	' investments '
4	2	' is a '
65	1	' is '
2	3	' is not a '
4	2	' is not '
65	1	' is '
3	3	' is safe to '
5	2	' is the '
4	2	' is to '
3	2	' is what '
2	2	' is whether '
4	2	' is why '
3	2	' isn't '
37	1	' it '
3	2	' it has '
2	3	' it in the '
4	2	' it is '
37	1	' it '
2	2	' it should '
3	2	' it takes '
2	3	' it takes to '
4	2	' it will '
2	3	' it will be '
4	2	' it will '
3	3	' it's not '
20	2	' it's '
2	4	' it's why we '
3	1	' it. '
4	1	' its '
5	1	' job '
4	2	' jobs and '
2	3	' jobs and industries '
2	2	' jobs created '
2	2	' jobs for '
20	1	' jobs '
2	2	' jobs in '
4	1	' jobs. '
2	2	' jobs. this '
21	1	' just '
2	1	' kathy '
2	1	' keep '
2	2	' kind of '
15	1	' know '
4	2	' know that '
2	2	' know there '
2	1	' korean '
2	2	' last month, '
17	1	' last '
3	1	' later, '
5	1	' law '
2	1	' law. '
2	1	' laws '
2	1	' lead '
5	1	' leadership '
4	1	' left '
2	1	' legislation '
2	2	' let me '
5	1	' let '
3	2	' let us '
7	2	' let's '
2	4	' let's make sure '
3	2	' level of '
4	1	' level '
4	1	' life '
12	1	' like '
2	2	' like the '
4	1	' live '
2	1	' living '
2	1	' look '
2	1	' loopholes. '
2	1	' love '
6	1	' made '
2	2	' made it '
6	1	' made '
3	2	' make a '
2	2	' make america '
22	1	' make '
2	2	' make it '
22	1	' make '
5	2	' make sure '
2	2	' make the '
3	1	' making '
7	1	' many '
2	1	' market '
5	1	' matter '
6	1	' may '
4	2	' may have '
4	1	' me '
2	1	' means. '
2	1	' meant '
2	1	' medical '
5	1	' meet '
2	2	' meet this '
2	2	' members of '
4	3	' men and women '
2	4	' men and women who '
4	2	' might not '
2	1	' million '
3	2	' millions of '
3	1	' money '
2	1	' money.'
31	1	' more '
7	2	' more than '
10	1	' most '
3	2	' most of '
10	1	' most '
2	2	' move forward '
8	1	' must '
2	2	' must be '
5	1	' my '
2	1	' named '
8	1	' nation '
2	3	' nation on earth. '
3	2	' nation that '
5	1	' nation. '
2	2	' nations like '
3	1	' nearly '
3	1	' necessary '
13	1	' need '
10	2	' need to '
2	3	' need to take '
2	1	' needs '
5	1	' never '
35	1	' new '
5	2	' new jobs '
2	3	' new jobs will '
35	1	' new '
10	1	' next '
18	1	' no '
4	2	' no matter '
2	3	' no matter who '
2	2	' no one '
18	1	' no '
2	2	' none of '
2	1	' north '
32	1	' not '
5	2	' not just '
15	1	' now '
3	2	' now is '
2	4	' now is the time '
15	1	' now '
8	1	' now, '
4	1	' nuclear '
199	1	' of '
13	2	' of a '
2	5	' of a small business owner '
13	2	' of a '
4	2	' of all '
3	2	' of america '
2	2	' of americans '
2	2	' of every '
3	2	' of his '
24	2	' of our '
2	3	' of our people '
2	3	' of our people. '
2	3	' of our public '
24	2	' of our '
2	2	' of that '
37	2	' of the '
2	3	' of the past. '
4	2	' of their '
5	2	' of this '
6	2	' of us '
2	1	' off '
2	1	' oil '
2	2	' on a '
30	1	' on '
5	2	' on the '
2	2	' on their '
6	1	' once '
16	1	' one '
3	2	' one of '
2	3	' one of the '
16	1	' one '
6	1	' only '
2	1	' open '
2	2	' or a '
20	1	' or '
2	2	' or where '
4	1	' other '
119	1	' our '
2	2	' our borders, '
2	2	' our classrooms, '
2	2	' our deficit '
2	2	' our deficit, '
2	2	' our exports '
2	2	' our government '
2	2	' our kids. '
2	2	' our military '
4	2	' our own '
4	2	' our people '
3	2	' our people. '
2	2	' our schools '
2	2	' our students '
5	2	' our troops '
3	1	' out '
2	2	' out of '
3	1	' out-'
10	2	' over the '
2	5	' over the last two years '
3	3	' over the next '
2	5	' over the next ten years, '
10	2	' over the '
2	1	' parents '
6	2	' part of '
3	1	' pass '
2	1	' patient '
2	1	' paychecks '
2	1	' paying '
22	1	' people '
2	2	' people of '
4	2	' people who '
2	2	' people with '
2	2	' people's '
3	1	' people, '
5	1	' people. '
2	2	' people. we '
2	1	' permanent '
2	1	' person '
8	1	' place '
3	2	' place on '
2	1	' places '
3	1	' plan '
3	1	' point '
2	1	' policy. '
2	2	' possible for '
5	1	' possible '
2	1	' power '
3	1	' private '
3	1	' progress '
2	1	' progress. '
3	1	' projects '
2	2	' proportion of '
2	2	' proposal to '
3	1	' proposed '
2	2	' protect our '
2	1	' purpose '
2	1	' pursue '
7	1	' put '
3	1	' quality '
2	2	' race and '
8	1	' race '
4	2	' race to '
2	4	' race to the top '
2	1	' railroad, '
2	1	' raise '
4	1	' reach '
2	1	' rebuilding '
2	1	' recently, '
4	1	' recession '
2	1	' reduce '
2	1	' reducing '
6	1	' reform '
2	2	' reinvented ourselves.'
4	1	' remember '
2	2	' remember that '
5	1	' republicans '
4	1	' require '
5	2	' research and '
2	1	' research, '
4	1	' responsibility '
3	2	' rid of '
2	2	' right now '
2	1	' rival '
2	2	' roads and '
2	1	' robert '
4	1	' rules '
4	1	' said '
2	2	' said that '
6	1	' same '
2	1	' save '
3	1	' savings '
2	2	' saw the '
4	1	' school '
6	1	' schools '
2	2	' schools in '
6	1	' schools '
3	1	' science '
2	2	' scientists and '
2	1	' seeing '
4	1	' seen '
3	1	' sell '
2	3	' sell their products '
2	1	' seniors '
2	1	' sent '
2	1	' serve '
2	1	' served '
4	1	' set '
3	1	' share '
3	1	' she '
9	1	' should '
2	2	' should be '
9	1	' should '
2	2	' shouldn't '
2	1	' show '
5	1	' since '
3	1	' single '
16	1	' so '
2	2	' so they '
9	1	' some '
3	1	' something '
2	2	' south korea, '
4	1	' space '
2	1	' speaker, '
2	1	' speed '
6	1	' spending '
4	1	' spending, '
5	1	' stand '
2	1	' standards '
3	1	' standing '
3	1	' start '
2	1	' started '
2	3	' starting this year, '
2	4	' state of the union '
3	1	' states '
5	1	' step '
3	6	' step in winning the future is '
2	1	' still '
3	1	' stop '
3	1	' story '
2	1	' streets. '
2	1	' strengthen '
3	1	' student '
7	1	' students '
5	1	' success '
6	1	' support '
2	2	' support from '
6	1	' support '
6	1	' sure '
3	1	' system '
2	1	' system. '
14	1	' take '
2	2	' take time. '
14	1	' take '
5	1	' taken '
2	1	' taliban '
10	1	' tax '
2	1	' taxes '
2	1	' taxpayer '
2	2	' teachers and '
4	1	' teachers '
4	1	' technology '
3	1	' technology, '
21	1	' than '
2	2	' than one '
21	1	' than '
2	2	' that advertisement   '
3	2	' that american '
114	1	' that '
4	3	' that dream is '
114	1	' that '
3	2	' that has '
3	2	' that have '
2	2	' that he '
2	2	' that in '
3	2	' that is '
3	2	' that our '
2	2	' that put '
2	5	' that says this is a '
2	2	' that some '
5	2	' that the '
2	2	' that they '
7	2	' that we '
2	2	' that world '
21	2	' that's '
9	3	' that's what '
352	1	' the '
4	2	' the afghan '
5	2	' the american '
2	3	' the american people '
5	2	' the best '
2	3	' the chance to '
2	2	' the country. '
2	3	' the deficit by '
2	2	' the economy '
8	2	' the first '
2	2	' the furniture '
4	3	' the future is '
2	2	' the goal '
2	2	' the greatest '
2	2	' the hard '
3	2	' the health '
2	2	' the highest '
2	2	' the idea '
2	2	' the job '
3	2	' the jobs '
7	2	' the last '
2	4	' the last two years, '
2	4	' the men and women '
2	2	' the miners '
3	2	' the more '
3	2	' the most '
3	2	' the nation '
2	3	' the nation that '
5	2	' the new '
9	2	' the next '
4	2	' the people '
2	3	' the promise of '
2	3	' the quality of '
2	2	' the recession '
2	2	' the rest '
2	3	' the rules have '
5	2	' the same '
2	3	' the savings to '
2	2	' the science '
2	3	' the state of '
2	3	' the story of '
2	3	' the tax cuts '
3	2	' the time '
3	2	' the way '
2	3	' the way we '
3	3	' the world's '
2	2	' the world, '
6	2	' the world. '
2	3	' the world. we '
4	2	' the worst '
34	1	' their '
2	2	' their success. '
34	1	' their '
12	1	' them '
2	2	' them the '
2	2	' them to '
2	2	' them. but '
4	1	' them. '
2	1	' then '
3	2	' there are '
9	1	' there '
2	3	' there will be '
3	2	' there's '
10	1	' these '
2	2	' they are '
26	1	' they '
10	2	' they're '
2	3	' they're in '
3	1	' things '
5	1	' think '
2	2	' think of '
49	1	' this '
2	2	' this country '
49	1	' this '
6	2	' this is '
49	1	' this '
2	2	' this law '
49	1	' this '
5	2	' this year, '
2	3	' this year, we '
8	1	' those '
2	2	' those of '
8	1	' those '
3	1	' thousands '
2	2	' thousands of '
2	1	' three '
2	1	' through '
2	1	' throughout '
10	1	' time '
3	2	' time to '
214	1	' to '
2	2	' to all '
3	2	' to an '
9	2	' to be '
2	2	' to begin '
2	2	' to bring '
2	2	' to compete '
2	2	' to congress '
2	2	' to cut '
9	2	' to do '
2	2	' to eliminate '
2	2	' to forge '
6	2	' to get '
3	2	' to give '
4	2	' to go '
2	3	' to go to '
4	2	' to help '
2	3	' to high-speed '
2	2	' to inspire '
214	1	' to '
2	2	' to join '
8	2	' to make '
2	2	' to manufacture '
2	2	' to move '
9	2	' to our '
2	3	' to our deficit. '
9	2	' to our '
2	3	' to rein in '
2	2	' to reinvent '
2	2	' to study '
14	2	' to the '
214	1	' to '
4	3	' to win the '
8	2	' to work '
2	3	' to work with '
4	1	' together '
2	1	' told '
5	1	' tonight '
10	1	' tonight, '
3	2	' tonight, i''
2	3	' tonight, i'm '
2	3	' tonight, let us '
2	1	' tough '
4	1	' trade '
2	1	' train '
2	1	' travel '
2	2	' troops and '
2	1	' try. '
3	1	' tucson '
2	1	' tunisia, '
12	1	' two '
3	1	' under '
3	1	' union '
4	1	' united '
9	1	' up '
2	5	' us apart as a nation. '
2	2	' us here '
2	2	' us that '
2	2	' us to '
2	2	' us. it '
8	1	' us. '
2	1	' use '
5	1	' used '
3	2	' used to '
2	1	' using '
2	1	' veterans '
2	1	' violence '
2	1	' vote '
14	1	' want '
2	3	' want to be '
2	1	' wants '
2	1	' war '
6	1	' was '
2	3	' wasn't there '
6	1	' way '
2	4	' we also have to '
18	2	' we are '
2	3	' we are the '
3	2	' we believe '
9	2	' we can '
2	3	' we can make '
2	2	' we did '
3	4	' we do big things.'
2	2	' we find '
163	1	' we '
15	2	' we have '
2	3	' we have begun '
15	2	' we have '
4	3	' we have to '
3	2	' we know '
2	2	' we make '
4	2	' we must '
6	3	' we need to '
5	2	' we should '
2	2	' we take '
5	2	' we want '
4	3	' we want to '
17	2	' we will '
2	3	' we will make '
2	3	' we will not '
20	1	' we''
7	2	' we'll '
20	1	' we''
6	2	' we're '
2	3	' we're not '
6	2	' we've '
2	1	' weapons '
2	1	' went '
4	1	' were '
28	1	' what '
2	4	' what sets us apart '
3	2	' what the '
3	2	' what we '
2	2	' what we''
5	2	' what's '
2	2	' when a '
12	1	' when '
2	2	' when the '
12	1	' where '
2	2	' where the '
12	1	' where '
3	1	' wherever '
6	1	' whether '
2	3	' whether we can '
3	2	' whether we '
2	1	' while '
2	1	' white '
27	1	' who '
4	2	' who can '
27	1	' who '
2	1	' who''
12	1	' why '
2	2	' will also '
2	3	' will be a '
2	4	' will be able to '
15	2	' will be '
2	4	' will be the first '
60	1	' will '
3	2	' will not '
3	2	' will require '
60	1	' will '
2	3	' willing to do '
6	2	' willing to '
2	3	' win the future '
3	3	' win the future. '
61	1	' with '
9	2	' with a '
61	1	' with '
2	2	' with one '
3	2	' with our '
11	2	' with the '
2	2	' with their '
6	1	' within '
5	1	' without '
2	1	' woman '
2	2	' won't '
20	1	' work '
2	2	' work to '
4	2	' work with '
3	1	' worked '
3	1	' workers '
2	2	' workers, and '
3	1	' workers, '
2	1	' working '
2	3	' world has changed. '
5	1	' world '
7	1	' world. '
8	1	' would '
3	1	' year '
4	2	' year, we '
2	3	' year, we will '
2	1	' year. '
3	2	' years ago, '
12	1	' years '
9	1	' years, '
2	2	' years, we '
2	1	' yes, '
23	1	' you '
3	3	' you want to '
5	1	' you''
3	1	' you, '
3	1	' you. '
7	1	' your '
22	0	'"'
172	0	'''
4	1	''d '
172	0	'''
17	1	''re '
172	0	'''
2	2	''s a '
84	1	''s '
3	2	''s best '
84	1	''s '
15	1	''ve '
2	2	''ve seen '
3	0	',   '
2	1	', "i '
6	0	', "'
2	1	', "we '
336	0	', '
5	1	', a '
3	1	', america '
62	1	', and '
3	2	', and i '
62	1	', and '
2	2	', and that '
7	2	', and the '
2	3	', and we will '
4	1	', as '
23	1	', but '
4	2	', but i '
23	1	', but '
4	2	', but the '
4	2	', but we '
2	1	', clean '
2	1	', he '
2	2	', i am '
2	4	', i ask congress to '
14	1	', i '
3	2	', i will '
4	2	', i'm '
7	1	', i''
2	2	', i've '
6	1	', it '
3	2	', let's '
2	1	', most '
3	1	', not '
6	1	', or '
6	1	', our '
2	1	', some '
12	1	', the '
4	1	', they '
3	1	', they''
2	3	', we are also '
8	2	', we are '
45	1	', we '
5	2	', we have '
2	3	', we have to '
45	1	', we '
2	2	', we know '
45	1	', we '
8	2	', we will '
3	2	', we'll '
4	1	', we''
2	1	', when '
3	1	', where '
4	1	', which '
5	1	', with '
344	0	','
8	1	',000 '
4	0	'- '
403	0	'.'
3	1	'. advertisement   '
2	1	'. all '
2	2	'. already, we '
2	1	'. america '
2	2	'. america's '
2	2	'. and as '
2	2	'. and because '
40	1	'. and '
2	3	'. and let's '
4	2	'. and so '
2	2	'. and this '
2	2	'. and to '
3	2	'. and tonight, '
40	1	'. and '
3	2	'. and we '
2	3	'. and we must '
2	3	'. and yet, as '
4	1	'. as '
2	3	'. as we speak, '
4	1	'. at '
2	2	'. at stake '
4	1	'. at '
6	1	'. because '
2	5	'. because you deserve to know '
2	1	'. before '
22	1	'. but '
2	2	'. but because '
2	2	'. but to '
4	2	'. but we '
2	3	'. but we have '
3	2	'. by the '
2	1	'. every '
2	1	'. for '
11	1	'. i '
2	3	'. i believe we '
11	1	'. i '
2	3	'. i don't '
2	2	'. i know '
11	1	'. i '
2	3	'. i might not '
11	1	'. i '
3	3	'. i'm not '
6	1	'. i''
3	2	'. i've '
5	1	'. if '
2	2	'. if you '
2	2	'. in a '
11	1	'. in '
2	2	'. in south '
11	1	'. in '
3	2	'. it is '
2	4	'. it is time to '
10	1	'. it '
2	4	'. it's about a '
4	3	'. it's about '
15	2	'. it's '
2	3	'. it's whether '
4	3	'. it's why '
2	4	'. it's why our '
2	1	'. let '
2	1	'. many '
2	1	'. meanwhile, '
5	1	'. no '
7	1	'. now, '
3	2	'. of course, '
4	1	'. one '
2	1	'. others '
7	1	'. our '
3	2	'. over the '
2	3	'. so instead of '
7	1	'. so '
2	3	'. so tonight, i '
7	1	'. so '
2	3	'. thanks to our '
3	2	'. thanks to '
3	4	'. that dream is why '
4	2	'. that dream '
8	1	'. that '
2	2	'. that is '
8	1	'. that '
3	3	'. that's how '
12	2	'. that's '
7	3	'. that's what '
2	3	'. that's why '
16	1	'. the '
2	1	'. their '
2	2	'. there are '
3	1	'. there '
4	1	'. they '
11	1	'. this '
2	2	'. this year, '
8	1	'. to '
3	1	'. today, '
6	2	'. we are '
30	1	'. we '
3	2	'. we have '
30	1	'. we '
2	4	'. we may have different '
30	1	'. we '
4	3	'. we need to '
2	2	'. we should '
5	1	'. we''
4	2	'. we're '
2	5	'. what comes of this moment '
2	1	'. when '
3	1	'. with '
2	1	'. within '
2	1	'. you '
10	0	'." '
2	4	'." we do big things. '
4	1	'." we '
14	0	': '
2	1	': by '
14	0	': '
2	1	': if '
14	0	': '
2	3	': president obama's '
2	1	': the '
4	1	'; and '
26	0	'; '
3	1	'; that '
2	1	'; the '
2	1	'? what '
3	0	'?'
2	0	'\'
